,How important is it to you that ads help you find products you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,ad_type,val,Imp-Bel Grp
0,1,1,new,0.2597402597402597,11
1,1,1,old,0.2727272727272727,11
2,1,2,new,0.09090909090909091,12
3,1,2,old,0.09090909090909091,12
4,1,3,new,0.14285714285714285,13
5,1,3,old,0.15151515151515152,13
6,1,4,new,0.05194805194805195,14
7,1,5,new,0.012987012987012988,15
8,2,1,new,0.03896103896103896,21
9,2,1,old,0.030303030303030304,21
10,2,2,new,0.1038961038961039,22
11,2,2,old,0.24242424242424243,22
12,2,3,new,0.16883116883116883,23
13,2,3,old,0.18181818181818182,23
14,2,4,new,0.06493506493506493,24
15,2,5,new,0.03896103896103896,25
16,3,1,new,0.025974025974025976,31
17,3,1,old,0.06060606060606061,31
18,3,2,new,0.07792207792207792,32
19,3,2,old,0.15151515151515152,32
20,3,3,new,0.19480519480519481,33
21,3,3,old,0.3333333333333333,33
22,3,4,new,0.19480519480519481,34
23,3,4,old,0.09090909090909091,34
24,3,5,new,0.03896103896103896,35
25,3,5,old,0.09090909090909091,35
26,4,1,new,0.06493506493506493,41
27,4,2,new,0.06493506493506493,42
28,4,2,old,0.09090909090909091,42
29,4,3,new,0.16883116883116883,43
30,4,3,old,0.06060606060606061,43
31,4,4,new,0.06493506493506493,44
32,4,4,old,0.09090909090909091,44
33,4,5,new,0.025974025974025976,45
34,4,5,old,0.09090909090909091,45
35,5,1,new,0.025974025974025976,51
36,5,2,new,0.012987012987012988,52
37,5,2,old,0.06060606060606061,52
38,5,3,new,0.03896103896103896,53
39,5,3,old,0.09090909090909091,53
40,5,4,new,0.012987012987012988,54
41,5,5,new,0.07792207792207792,55
42,5,5,old,0.06060606060606061,55
